"enumrtr","lga","ward","village","subvillage","under_18","HH_size","dogs","puppies","Land.Use","longitude","latitude","precision"
1,"Tarime DC","Nyakonga",1,1,86,5,2,0,"Built",34.3924396441931,-1.34212784495975,6.28
2,"Musoma MC","Nyamatare",2,2,55,69,3,0,"Built",33.7974180563236,-1.51135088972911,4.32
3,"Musoma MC","Nyasho",3,3,30,10,0,0,"Built",33.8036506319584,-1.51298204615638,3.9
4,"Musoma MC","Mshikamano",4,4,28,45,0,0,"Built",33.8071502093047,-1.52591506519199,8.9
4,"Musoma MC","Mshikamano",4,5,25,45,0,0,"Built",33.8045052965918,-1.52549406543141,5.6
4,"Musoma MC","Mshikamano",4,6,22,45,0,0,"Built",33.8055694235954,-1.52703888700122,5.7
5,"Serengeti DC","Geitasamo",5,7,21,8,0,0,"Built",34.6434785874687,-1.79816218902391,4.98
6,"Tarime TC","Bomani",6,8,21,5,1,0,"Built",34.3616818010638,-1.35236306191121,4.771
7,"Rorya DC","Kisumwa",7,9,21,4,1,0,"Built",34.1290287884067,-1.44377782997107,8.785
8,"Tarime DC","Sirari",8,10,20,50,2,0,"Built",34.4732863530816,-1.25290347052939,242.223
4,"Musoma MC","Mshikamano",4,11,20,35,0,0,"Built",33.805537578044,-1.5254665333093,4.956
9,"Musoma MC","Nyasho",3,3,20,6,0,0,"Built",33.8042469518369,-1.51348163168762,3.9
4,"Musoma MC","Mshikamano",4,12,19,30,0,0,"Built",33.806468341588,-1.52668185872909,5.325
4,"Musoma MC","Mshikamano",4,13,19,30,0,0,"Built",33.8110835085623,-1.52180963319609,6.675
10,"Bunda TC","Kabasa",9,14,19,14,4,1,"Built",33.7980318114827,-1.97639515063467,4.833
4,"Musoma MC","Mshikamano",4,5,18,31,0,0,"Built",33.8053208332908,-1.5261978500592,6.275
4,"Musoma MC","Mshikamano",4,15,18,30,0,0,"Built",33.8076133174203,-1.52207312453129,8.352
11,"Butiama DC","Kyanyari",10,16,18,20,0,0,"Built",33.7885763848231,-1.82726988093294,4.45
5,"Serengeti DC","Geitasamo",5,17,17,25,3,0,"Built",34.6430914736394,-1.79898745856143,4.9
12,"Bunda DC","Neruma",11,18,17,20,1,1,"Built",33.5121177305529,-2.16160079270171,4.571
4,"Musoma MC","Mshikamano",4,11,16,25,0,0,"Built",33.8068164924851,-1.52613622136787,9.24
13,"Musoma DC","Makojo",12,19,16,22,0,0,"Built",33.3877076139288,-1.89193319318769,4.96
14,"Serengeti DC","Maji moto",13,20,16,20,3,0,"Built",34.3694954150944,-1.57032818637246,4.8
14,"Serengeti DC","Maji moto",13,21,16,8,6,0,"Built",34.3692011218866,-1.56994606044675,4.66
15,"Musoma MC","Mshikamano",4,13,15,32,0,0,"Built",33.8081502833462,-1.52211508840177,7.3
16,"Musoma MC","Buhare",14,22,15,24,0,0,"Built",33.7879575882606,-1.51317063906366,3.583
17,"Musoma DC","Etaro",15,23,15,20,2,0,"Built",33.7118111025023,-1.50529906795058,4.9
18,"Serengeti DC","Rigwani",16,24,15,20,3,1,"Built",34.4973394805905,-1.72912341595911,9.4
19,"Musoma MC","Rwamlimi",17,25,15,18,0,1,"Built",33.8124477161653,-1.53945598052541,4.88
20,"Tarime DC","Kibasuka",18,26,14,28,3,2,"Built",34.4397401259387,-1.41892687270538,8.4
21,"Butiama DC","Mirwa",19,27,14,26,3,1,"Built",34.113212385595,-1.79466975153493,4.98
4,"Musoma MC","Mshikamano",4,11,14,24,0,1,"Built",33.8052543015339,-1.52599790190976,8.6
4,"Musoma MC","Mshikamano",4,28,14,22,0,0,"Built",33.8032031341019,-1.52117378944315,8.733
4,"Musoma MC","Mshikamano",4,5,14,21,0,0,"Built",33.805265463997,-1.52658266516463,6.6
22,"Serengeti DC","Rigwani",16,24,14,20,4,1,"Built",34.497508561837,-1.73009587263098,19
20,"Tarime DC","Kibasuka",18,18,14,0,2,0,"Built",34.4356770450534,-1.42023440805782,1019.464
4,"Musoma MC","Mshikamano",4,11,13,25,0,0,"Built",33.8056339763086,-1.52569678092495,8.18
4,"Musoma MC","Mshikamano",4,13,13,22,2,0,"Built",33.8084377406606,-1.52139128412833,7.266
23,"Serengeti DC","Rungabure",20,29,13,21,0,0,"Built",34.6083887969125,-1.73583223798473,4.896
24,"Serengeti DC","Nyamantare",21,30,13,18,1,3,"Built",34.4244274625576,-1.78871084842929,4.837
25,"Serengeti DC","Rigwani",16,24,13,18,6,0,"Built",34.4966195970978,-1.73178609995524,4.9
26,"Bunda TC","Guta",22,31,13,18,0,0,"Built",33.8545993041107,-2.02727020732837,2799.999
23,"Serengeti DC","Rungabure",20,29,13,17,1,0,"Built",34.6046081545959,-1.73410255134741,4.816
11,"Butiama DC","Kyanyari",10,32,13,16,6,0,"Built",33.7926114631003,-1.83167650909815,4.696
27,"Tarime DC","Ganyange",23,33,13,16,3,1,"Built",34.5895824583208,-1.34549761050452,2799.999
28,"Bunda DC","Kisorya",24,34,13,15,0,0,"Built",33.2108021246376,-2.1072991878731,4.854
4,"Musoma MC","Mshikamano",4,35,13,7,0,0,"Built",33.8093677991607,-1.5253495318011,7.5
4,"Musoma MC","Mshikamano",4,11,12,35,1,0,"Built",33.8063181052812,-1.52666957509949,8.76
4,"Musoma MC","Mshikamano",4,28,12,28,0,0,"Built",33.8045446384892,-1.51902975471927,5.666
4,"Musoma MC","Mshikamano",4,28,12,25,0,0,"Built",33.8041278336779,-1.52101634456931,6.757
29,"Serengeti DC","Nyamantare",21,36,12,22,6,5,"Built",34.4344727796209,-1.80406943766665,7.776
30,"Bunda DC","Iramba",25,37,12,21,0,0,"Built",33.3922309455373,-1.97864959985159,4.6
15,"Musoma MC","Mshikamano",4,13,12,21,0,0,"Built",33.8074595925359,-1.52082785030871,6.223
17,"Musoma DC","Etaro",15,23,12,20,2,0,"Built",33.7127347017211,-1.50401710148005,3.98
20,"Tarime DC","Kibasuka",18,26,12,20,2,0,"Built",34.4381248790872,-1.41796350403248,7.866
4,"Musoma MC","Mshikamano",4,13,12,20,0,0,"Built",33.8103182053952,-1.52164613722077,6.05
31,"Bunda DC","Namhula",26,38,12,18,2,3,"Built",33.5412030510873,-2.06625403669951,4.3
15,"Musoma MC","Mshikamano",4,13,12,18,0,0,"Built",33.8094109413283,-1.52059608427139,6.45
17,"Musoma DC","Etaro",15,39,12,16,2,0,"Built",33.7119208059682,-1.50922710928169,4.692
23,"Serengeti DC","Rungabure",20,29,12,16,2,0,"Built",34.6026955677268,-1.73481507444823,4
32,"Tarime DC","Gwitiryo",27,40,12,16,2,0,"Built",34.471097157275,-1.28721356961074,4.9
28,"Bunda DC","Kisorya",24,34,12,15,2,0,"Built",33.2140253150456,-2.10949731867815,4.803
33,"Musoma MC","Kigera",28,41,12,15,0,0,"Built",33.7993660655466,-1.5236659607244,3.9
14,"Serengeti DC","Maji moto",13,20,12,15,6,0,"Built",34.3686329609855,-1.57149763271085,4.94
34,"Butiama DC","Kukirango",29,42,12,15,1,0,"Built",33.8469913753421,-1.76511371992224,1.344
35,"Tarime DC","Mbogi",30,18,12,15,1,0,"Built",34.5817284508045,-1.31851976731722,4.45
36,"Bunda DC","Iramba",25,43,12,14,0,0,"Built",33.389245223843,-1.9828321712939,4.533
37,"Musoma MC","Makoko",31,44,12,5,0,0,"Built",33.7720038664836,-1.49098312098096,2500
13,"Musoma DC","Makojo",12,45,11,21,0,0,"Built",33.4076215103374,-1.89030131535778,5
13,"Musoma DC","Makojo",12,45,11,20,0,0,"Built",33.4069564296183,-1.89005873662479,4.9
4,"Musoma MC","Mshikamano",4,28,11,19,0,0,"Built",33.8041087443648,-1.52182074968272,7.4
11,"Butiama DC","Kyanyari",10,46,11,18,3,0,"Built",33.7807995741247,-1.82453675773688,4.775
11,"Butiama DC","Kyanyari",10,32,11,18,2,0,"Built",33.7920910590882,-1.8297811351973,4.279
38,"Tarime DC","Regicheri",32,47,11,17,0,0,"Built",34.4452752401571,-1.27573375045335,4.7
13,"Musoma DC","Makojo",12,19,11,17,0,0,"Built",33.3863357888491,-1.8921288668518,4.816
39,"Serengeti DC","Nyamoko",33,48,11,17,2,0,"Built",34.5970535353307,-1.83910676222968,4.5
40,"Musoma DC","Murangi",34,49,11,16,0,0,"Built",33.4696671978658,-1.85074406692455,4.28
5,"Serengeti DC","Geitasamo",5,7,11,16,2,0,"Built",34.6438315937035,-1.79783465799345,4.914
40,"Musoma DC","Murangi",34,50,11,15,1,0,"Built",33.4741945514831,-1.85161970418151,3.9
41,"Serengeti DC","Geitasamo",5,17,11,15,3,0,"Built",34.6441034234956,-1.7980677291513,4
30,"Bunda DC","Iramba",25,43,11,15,0,0,"Built",33.3904129356773,-1.98014966105456,4.76
42,"Musoma DC","Tegeruka",35,51,11,15,0,0,"Built",33.7110468716152,-1.7527818888251,3.9
43,"Bunda TC","Kabasa",9,52,11,15,1,0,"Built",33.8201594412217,-1.99570560644064,4.12
17,"Musoma DC","Etaro",15,50,11,14,0,0,"Built",33.7008656258245,-1.50174430833194,4.433
11,"Butiama DC","Kyanyari",10,53,11,14,0,0,"Built",33.794990661294,-1.83059707071149,4.6
44,"Tarime DC","Nyarero",36,54,11,14,3,0,"Built",34.4831461545137,-1.372116614517,4.955
45,"Tarime DC","Regicheri",32,55,11,14,1,6,"Built",34.4359420340319,-1.28175008604003,4.183
20,"Tarime DC","Kibasuka",18,56,11,13,0,0,"Built",34.4401682250392,-1.4187088977712,4.6
46,"Musoma DC","Bugoji",37,57,11,13,0,0,"Built",33.7355660343046,-1.89889656187842,4.8
47,"Musoma DC","Bugoji",37,58,11,13,0,0,"Built",33.7343834723874,-1.90836919469945,4.825
48,"Tarime TC","Sabasaba",38,59,10,25,5,8,"Built",34.3771637295701,-1.34448860861687,4.824
4,"Musoma MC","Mshikamano",4,11,10,25,0,0,"Built",33.8055552960264,-1.52624959614992,4.878
4,"Musoma MC","Mshikamano",4,11,10,25,0,0,"Built",33.805864211308,-1.52725346705548,10
4,"Musoma MC","Mshikamano",4,60,10,25,0,0,"Built",33.8060072735491,-1.52596348374407,5.5
4,"Musoma MC","Mshikamano",4,13,10,24,0,2,"Built",33.8081080812943,-1.52148545351502,5.38
4,"Musoma MC","Mshikamano",4,61,10,23,0,0,"Built",33.8059556442091,-1.52041951776147,9.055
4,"Musoma MC","Mshikamano",4,13,10,22,2,0,"Built",33.8083082112113,-1.52011571139737,9.32
4,"Musoma MC","Mshikamano",4,11,10,21,0,0,"Built",33.8048319880703,-1.52605721002658,5.55
4,"Musoma MC","Mshikamano",4,13,10,21,0,0,"Built",33.8075630285189,-1.52045214191686,8.766
4,"Musoma MC","Mshikamano",4,61,10,20,0,0,"Built",33.8051630101927,-1.5215794890802,6.243
4,"Musoma MC","Mshikamano",4,28,10,20,0,0,"Built",33.8058435110573,-1.51945052208147,6.56
4,"Musoma MC","Mshikamano",4,28,10,20,1,0,"Built",33.8031924924109,-1.52147735291937,8.4
8,"Tarime DC","Sirari",8,62,10,19,1,0,"Built",34.4705562375872,-1.25058127393267,8.75
11,"Butiama DC","Kyanyari",10,63,10,18,3,2,"Built",33.7886355714949,-1.831538552345,4.96
49,"Serengeti DC","Busawe",39,64,10,18,5,2,"Built",34.4269091400627,-1.58406789520566,4.766
41,"Serengeti DC","Geitasamo",5,65,10,18,4,0,"Built",34.6295092959912,-1.78486649955576,3.8
30,"Bunda DC","Iramba",25,37,10,18,0,0,"Built",33.3908965651631,-1.97750062362618,3.9
15,"Musoma MC","Mshikamano",4,13,10,18,0,0,"Built",33.8082209011467,-1.52125593003536,6.337
4,"Musoma MC","Mshikamano",4,13,10,18,0,0,"Built",33.8095479829737,-1.52249742044694,7.7
4,"Musoma MC","Mshikamano",4,13,10,18,0,0,"Built",33.8097034403724,-1.52250201061812,5.783
4,"Musoma MC","Mshikamano",4,13,10,18,1,0,"Built",33.8103455893064,-1.52016210039346,7.3
4,"Musoma MC","Mshikamano",4,13,10,18,0,0,"Built",33.8104100361535,-1.52120314220005,5.95
4,"Musoma MC","Mshikamano",4,61,10,18,0,0,"Built",33.8054259526699,-1.5228635588569,5.9
4,"Musoma MC","Mshikamano",4,61,10,18,0,0,"Built",33.8056145210976,-1.52118434611992,6.15
4,"Musoma MC","Mshikamano",4,28,10,18,0,0,"Built",33.8055559728314,-1.51862440745314,5.862
40,"Musoma DC","Murangi",34,49,10,17,0,0,"Built",33.4666865792648,-1.8516466114088,4.922
45,"Tarime DC","Regicheri",32,66,10,17,2,0,"Built",34.4398221966734,-1.27895283068787,4.737
4,"Musoma MC","Mshikamano",4,61,10,17,0,0,"Built",33.8064297227493,-1.51890121752289,7.986
50,"Tarime DC","Binagi",40,67,10,16,2,0,"Built",34.46653327618,-1.37539063329376,4.2
5,"Serengeti DC","Geitasamo",5,7,10,16,2,0,"Built",34.6441062937277,-1.79831317943651,4.957
17,"Musoma DC","Etaro",15,68,10,15,0,0,"Built",33.7155450636985,-1.50970321304135,4.257
51,"Musoma DC","Nyakatende",41,69,10,15,2,0,"Built",33.6902229193369,-1.57489905876581,4.766
52,"Serengeti DC","Nyamantare",21,36,10,15,5,3,"Built",34.4898872292476,-1.81786965997827,9.032
10,"Bunda TC","Kabasa",9,70,10,15,3,0,"Built",33.8146878359704,-1.96780266473747,4.4
53,"Serengeti DC","Rigwani",16,24,10,15,4,1,"Built",34.4967209747229,-1.73134602226833,4.666
54,"Serengeti DC","Rigwani",16,24,10,15,3,0,"Built",34.4949094848746,-1.72711826159306,7
4,"Musoma MC","Mshikamano",4,13,10,15,0,0,"Built",33.8102043874161,-1.52083679539836,6.36
55,"Serengeti DC","Rigwani",16,71,10,15,3,2,"Built",34.4039963596372,-1.73525371200023,5.45
28,"Bunda DC","Kisorya",24,34,10,14,4,0,"Built",33.2089044186729,-2.10714608618444,4.551
16,"Musoma MC","Buhare",14,22,10,14,0,0,"Built",33.7854931364132,-1.51667158579698,4.483
56,"Bunda DC","Kibara",42,72,10,14,1,0,"Built",33.448026631102,-2.15265218703322,3.7
57,"Serengeti DC","Kebancha",43,73,10,14,2,0,"Built",34.5635379416582,-1.6899755117657,431.439
58,"Musoma DC","Suguti",44,74,10,14,0,0,"Built",33.6456696891563,-1.79634420181478,5.042
14,"Serengeti DC","Maji moto",13,20,10,14,6,0,"Built",34.3515331074495,-1.63167624452415,4
10,"Bunda TC","Kabasa",9,75,10,14,1,0,"Built",33.7977819975976,-1.97142552854844,4.8
28,"Bunda DC","Kisorya",24,34,10,14,2,0,"Built",33.2142496910249,-2.10605192310065,4.854
35,"Tarime DC","Mbogi",30,76,10,14,0,0,"Built",34.5694835758912,-1.31584738907971,4.82
10,"Bunda TC","Kabasa",9,14,10,14,4,2,"Built",33.7975930724731,-1.9761724368966,5
5,"Serengeti DC","Geitasamo",5,7,10,14,1,0,"Built",34.6435435720588,-1.79731355616526,5
5,"Serengeti DC","Geitasamo",5,7,10,14,4,0,"Built",34.6444726310646,-1.79836253692751,4.95
59,"Bunda TC","Guta",22,77,10,14,0,0,"Built",33.8670439532297,-2.02125889559585,2099.999
12,"Bunda DC","Neruma",11,78,10,13,2,0,"Built",33.5078942283254,-2.15792735009478,4.883
49,"Serengeti DC","Busawe",39,64,10,13,1,2,"Built",34.4263734779169,-1.58492436577634,4.616
60,"Musoma DC","Musanja",45,79,10,13,1,0,"Built",33.5451512751333,-1.86387050095198,4.15
56,"Bunda DC","Kibara",42,72,10,13,2,0,"Built",33.4473760852901,-2.15253104136223,4.92
4,"Musoma MC","Mshikamano",4,5,10,13,0,0,"Built",33.8056208042795,-1.5270731764359,6.125
17,"Musoma DC","Etaro",15,68,10,13,5,0,"Built",33.7146991122663,-1.5093713000887,4.732
11,"Butiama DC","Kyanyari",10,53,10,13,0,0,"Built",33.7950356095875,-1.83287801766933,3.9
51,"Musoma DC","Nyakatende",41,80,10,13,2,0,"Built",33.6895400967672,-1.56792855264394,4.74
61,"Serengeti DC","Rigwani",16,24,10,13,5,0,"Built",34.4982229564917,-1.72946072958894,4.1
41,"Serengeti DC","Geitasamo",5,17,10,13,1,0,"Built",34.6437042713572,-1.7979541936698,4.733
10,"Bunda TC","Kabasa",9,14,10,13,3,2,"Built",33.8190446666894,-1.99700144546583,4.68
62,"Butiama DC","Butiama",46,81,10,13,0,0,"Built",33.9732647476033,-1.75759568194031,3.9
63,"Bunda DC","Nansimo",47,82,10,12,2,0,"Built",33.3719454560535,-2.1561049020117,3200
57,"Serengeti DC","Kebancha",43,73,10,12,2,0,"Built",34.5637717464617,-1.69130560707739,5.95
10,"Bunda TC","Kabasa",9,70,10,12,3,3,"Built",33.8142204083532,-1.97104441112951,4.6
35,"Tarime DC","Mbogi",30,18,10,12,1,0,"Built",34.5783894675187,-1.31757502937203,4.62
64,"Musoma DC","Suguti",44,83,10,12,0,0,"Built",33.6305774990638,-1.78746891447438,4099.999
65,"Butiama DC","Kamugegi",48,84,10,12,0,0,"Built",33.7745888716857,-1.72371946399595,3.96
11,"Butiama DC","Kyanyari",10,32,10,12,4,0,"Built",33.7918068791475,-1.82881691866255,4.875
5,"Serengeti DC","Geitasamo",5,7,10,12,2,0,"Built",34.6437293851628,-1.79818770087348,4.916
35,"Tarime DC","Mbogi",30,18,10,12,2,0,"Built",34.5765481909675,-1.3190547908563,4.925
15,"Musoma MC","Mshikamano",4,13,10,12,0,0,"Built",33.8083538398565,-1.52172812968237,8.314
57,"Serengeti DC","Kebancha",43,73,10,11,0,0,"Built",34.5638037884684,-1.69088727208678,5483.406
4,"Musoma MC","Mshikamano",4,35,10,5,0,0,"Built",33.8062279500022,-1.52427570923842,8.075
40,"Musoma DC","Murangi",34,85,10,5,2,0,"Built",33.479422878557,-1.84832302410909,4.72
17,"Musoma DC","Etaro",15,68,10,2,0,0,"Built",33.7159667071436,-1.50949563127921,4.691
66,"Tarime DC","Sirari",8,86,10,2,2,2,"Built",34.4728662512218,-1.25365249412435,3.303
66,"Tarime DC","Sirari",8,86,10,1,1,2,"Built",34.4710500372918,-1.25282990776277,1.188
16,"Musoma MC","Buhare",14,22,9,22,0,0,"Built",33.7870304657532,-1.5154828266263,4.981
30,"Bunda DC","Iramba",25,87,9,21,1,0,"Built",33.3929972037231,-1.98050225389307,4.26
36,"Bunda DC","Iramba",25,43,9,21,0,0,"Built",33.3898280853622,-1.98131174301843,4.98
65,"Butiama DC","Kamugegi",48,84,9,21,4,0,"Built",33.7795436493076,-1.72261251177713,4.8
15,"Musoma MC","Mshikamano",4,13,9,21,0,1,"Built",33.8097320150214,-1.52064116399173,6.95
31,"Bunda DC","Namhula",26,38,9,18,4,0,"Built",33.5396576408873,-2.06440493070054,4.52
40,"Musoma DC","Murangi",34,49,9,18,1,0,"Built",33.4704518881371,-1.84813306425348,4.809
4,"Musoma MC","Mshikamano",4,28,9,18,1,0,"Built",33.8042010826595,-1.51988052387955,8.5
13,"Musoma DC","Makojo",12,45,9,17,4,0,"Built",33.4090341995667,-1.89085102862829,4.966
28,"Bunda DC","Kisorya",24,34,9,16,4,0,"Built",33.2136175355575,-2.10479673531427,4.551
40,"Musoma DC","Murangi",34,49,9,16,0,0,"Built",33.4672682046982,-1.84820679980044,4.957
11,"Butiama DC","Kyanyari",10,16,9,16,3,0,"Built",33.7878870701258,-1.82533076447042,4.6
20,"Tarime DC","Kibasuka",18,88,9,16,3,1,"Built",34.4347453201925,-1.42153520367017,4.18
19,"Musoma MC","Rwamlimi",17,89,9,15,1,8,"Built",33.8233423400195,-1.51876221935556,4.72
67,"Bunda TC","Kabasa",9,90,9,15,8,3,"Built",33.8198983101633,-1.96008146438783,4.571
11,"Butiama DC","Kyanyari",10,16,9,15,0,0,"Built",33.7883280608414,-1.82726431361192,4.96
42,"Musoma DC","Tegeruka",35,91,9,15,1,1,"Built",33.70948743981,-1.75156002039902,3.9
68,"Tarime DC","Regicheri",32,55,9,15,0,0,"Built",34.4381351748553,-1.28253823453708,3.9
20,"Tarime DC","Kibasuka",18,92,9,15,3,0,"Built",34.4395893955922,-1.41807081913045,3086.196
69,"Tarime DC","Sirari",8,93,9,15,2,0,"Built",34.4704457050036,-1.25103522355394,3.216
69,"Tarime DC","Sirari",8,93,9,15,3,2,"Built",34.4719033758546,-1.251728451221,3.216
36,"Bunda DC","Iramba",25,37,9,15,0,0,"Built",33.392415377011,-1.981218366757,4.8
30,"Bunda DC","Iramba",25,43,9,15,0,0,"Built",33.388683145107,-1.98395713448718,4.2
20,"Tarime DC","Kibasuka",18,94,9,15,5,0,"Built",34.4321840867781,-1.39860121823125,7
4,"Musoma MC","Mshikamano",4,28,9,15,0,0,"Built",33.804693858152,-1.52061731337962,8.985
70,"Serengeti DC","Kisaka",49,95,9,15,8,5,"Built",34.5106178579539,-1.52905087182169,6.5
35,"Tarime DC","Mwema",50,96,9,15,1,2,"Built",34.5362073116222,-1.32588923459535,4.633
21,"Butiama DC","Mirwa",19,27,9,15,0,2,"Built",34.1175416406882,-1.79342483481348,4.9
71,"Butiama DC","Kukirango",29,97,9,14,0,0,"Built",33.856834719321,-1.75552143935159,1.182
72,"Butiama DC","Butuguri",51,98,9,14,3,0,"Built",33.9374072796133,-1.67839460676631,4.055
73,"Butiama DC","Bukabwa",52,99,9,14,7,9,"Built",33.9123831478768,-1.61481816588356,4.96
14,"Serengeti DC","Maji moto",13,20,9,14,4,0,"Built",34.3697823334554,-1.57153434794631,4.847
44,"Tarime DC","Nyarero",36,100,9,14,0,2,"Built",34.4952700300737,-1.37260918212713,4.84
45,"Tarime DC","Regicheri",32,66,9,14,1,0,"Built",34.4400924243423,-1.27836556854805,4.8
44,"Tarime DC","Nyarero",36,18,9,14,3,0,"Built",34.4872698699515,-1.3741536405455,4.983
45,"Tarime DC","Regicheri",32,66,9,14,0,0,"Built",34.4374327443711,-1.2786471533156,4.6
10,"Bunda TC","Kabasa",9,70,9,14,0,0,"Built",33.810954985525,-1.97086260691754,4.9
10,"Bunda TC","Kabasa",9,70,9,14,2,0,"Built",33.8137076476914,-1.97339791627043,4.325
14,"Serengeti DC","Maji moto",13,20,9,14,4,0,"Built",34.3515821147314,-1.63233182143861,4
23,"Serengeti DC","Rungabure",20,29,9,14,0,0,"Built",34.6061086159868,-1.73701980952979,5
74,"Bunda DC","Nampindi",53,101,9,14,0,0,"Built",33.2257305843052,-2.08830155650724,4.32
10,"Bunda TC","Kabasa",9,14,9,14,4,0,"Built",33.819860763338,-1.99690261478895,5
75,"Serengeti DC","Rigwani",16,24,9,14,4,0,"Built",34.4949230644286,-1.72851057014297,6.233
59,"Bunda TC","Guta",22,102,9,14,0,0,"Built",33.8545993041107,-2.02727020732837,2799.999
34,"Butiama DC","Kukirango",29,103,9,13,0,0,"Built",33.868189151329,-1.74894029042077,0.922
34,"Butiama DC","Kukirango",29,103,9,13,0,0,"Built",33.8660362852182,-1.74892454722384,0.807
13,"Musoma DC","Makojo",12,45,9,13,0,0,"Built",33.4086281483662,-1.89180077274515,4.9
4,"Musoma MC","Mshikamano",4,35,9,13,0,0,"Built",33.8064007993258,-1.52450559382505,9.35
76,"Musoma MC","Mwisenge",54,104,9,13,0,0,"Built",33.7875194123318,-1.50741772272309,4.333
77,"Butiama DC","Buruma",55,105,9,13,2,0,"Built",33.8722980046714,-1.72664041200414,4.875
78,"Rorya DC","Ikoma",56,43,9,13,0,0,"Built",34.3019697265979,-1.16123809735209,5
44,"Tarime DC","Nyarero",36,106,9,13,0,0,"Built",34.4902308645972,-1.3714422853037,4.9
73,"Butiama DC","Bukabwa",52,107,9,13,8,5,"Built",33.9117336626759,-1.61524024333979,4.94
44,"Tarime DC","Nyarero",36,18,9,13,4,0,"Built",34.4861223184024,-1.37235409041259,4.8
20,"Tarime DC","Kibasuka",18,26,9,13,2,0,"Built",34.4384168789307,-1.41773151114346,12
10,"Bunda TC","Kabasa",9,75,9,13,4,5,"Built",33.7979722854759,-1.97031944983599,4.15
79,"Serengeti DC","Rigwani",16,24,9,13,1,0,"Built",34.4962615424443,-1.73061041211445,4.716
10,"Bunda TC","Kabasa",9,75,9,13,2,3,"Built",33.7989297918132,-1.96414785973072,4.2
80,"Butiama DC","Kyanyari",10,46,9,13,0,0,"Built",33.7857968260433,-1.8240849092403,4.616
65,"Butiama DC","Kamugegi",48,108,9,13,0,0,"Built",33.7714353630167,-1.72075009347263,4.26
2,"Musoma MC","Nyamatare",2,2,9,13,0,0,"Built",33.7999862876596,-1.51061937681027,5
51,"Musoma DC","Nyakatende",41,109,9,13,0,0,"Built",33.6830017514805,-1.58006353292316,4.68
81,"Tarime DC","Pemba",57,110,9,13,2,0,"Built",34.5167759452534,-1.28140969754526,4.8
81,"Tarime DC","Pemba",57,110,9,13,2,0,"Built",34.5171433348376,-1.28280355698249,4.92
81,"Tarime DC","Pemba",57,111,9,13,2,0,"Built",34.5191367564729,-1.28250463926557,4.9
70,"Serengeti DC","Kisaka",49,95,9,13,2,1,"Built",34.5110919267319,-1.53080144302283,6.48
70,"Serengeti DC","Kisaka",49,95,9,13,6,2,"Built",34.5099315650399,-1.53047518628588,5
21,"Butiama DC","Mirwa",19,112,9,13,4,0,"Built",34.111965660082,-1.80243569609338,3.9
47,"Musoma DC","Bugoji",37,113,9,13,1,0,"Built",33.7347515567125,-1.90902171052664,4.72
40,"Musoma DC","Murangi",34,114,9,12,0,0,"Built",33.4626281709642,-1.84929614487434,4.78
82,"Bunda DC","Namhula",26,38,9,12,4,0,"Built",33.5404144115499,-2.06532272555435,4.6
30,"Bunda DC","Iramba",25,115,9,12,0,0,"Built",33.3871028101393,-1.97948276291595,4.96
83,"Rorya DC","Kigunga",58,116,9,12,2,1,"Built",34.0864140318143,-1.24551424768689,4.333
16,"Musoma MC","Buhare",14,22,9,12,0,0,"Built",33.7880243103986,-1.51450346471598,4.88
84,"Rorya DC","Koryo",59,117,9,12,0,0,"Built",34.2126214350066,-1.31648170301223,4.933
12,"Bunda DC","Neruma",11,78,9,12,1,0,"Built",33.5083607490351,-2.15673398928035,4.92
24,"Serengeti DC","Nyamantare",21,30,9,12,2,0,"Built",34.4239480182392,-1.78840596050645,4.837
83,"Rorya DC","Kigunga",58,118,9,12,1,0,"Built",34.0875065615363,-1.25706899130718,4.65
4,"Musoma MC","Mshikamano",4,35,9,12,0,0,"Built",33.8076451197417,-1.52339962035067,96
56,"Bunda DC","Chitengure",60,119,9,12,1,0,"Built",33.4261345707048,-2.14648368717773,4.92
84,"Rorya DC","Koryo",59,120,9,12,1,0,"Built",34.2297866039409,-1.31933140325877,4.66
85,"Tarime DC","Nyakonga",1,121,9,12,1,0,"Built",34.5725589809035,-1.34938419492197,5
85,"Tarime DC","Nyakonga",1,121,9,12,1,0,"Built",34.5752708880346,-1.34810556650709,4.8
44,"Tarime DC","Nyarero",36,54,9,12,2,2,"Built",34.4837776411818,-1.37606462413069,4.711
57,"Serengeti DC","Kebancha",43,122,9,12,2,0,"Built",34.5635986051995,-1.68842320869664,12.8
28,"Bunda DC","Kisorya",24,34,9,12,0,0,"Built",33.2109086922803,-2.10768145713573,4.803
85,"Tarime DC","Nyakonga",1,123,9,12,1,1,"Built",34.5625502053177,-1.35454955920227,4.3
10,"Bunda TC","Kabasa",9,124,9,12,0,0,"Built",33.7970541853197,-1.97185631665743,4.3
11,"Butiama DC","Kyanyari",10,53,9,12,0,0,"Built",33.7948326678547,-1.83864307837892,4.95
64,"Musoma DC","Suguti",44,83,9,12,0,0,"Built",33.6289498119083,-1.78788990163796,4199.999
64,"Musoma DC","Suguti",44,83,9,12,0,0,"Built",33.6305774990638,-1.78746891447438,4099.999
86,"Musoma DC","Nyamrandirira",61,115,9,12,0,0,"Built",33.5497059285063,-1.81775354744474,4.9
80,"Butiama DC","Kyanyari",10,125,9,12,0,0,"Built",33.7905938178117,-1.82556438638623,4.783
