"enumrtr","lga","ward","village","subvillage","under_18","HH_size","dogs","puppies","Land.Use","longitude","latitude","precision"
49,"Serengeti DC","Busawe",39,133,2,4,2,0,"Built",34.4287786913808,-1.58349039729302,4.56
49,"Serengeti DC","Busawe",39,133,2,4,0,0,"Built",34.4290369744679,-1.58359616446802,4.7
49,"Serengeti DC","Busawe",39,133,2,4,1,0,"Built",34.4274413055751,-1.58429614826178,5
510,"Rorya DC","Rabour",91,349,2,4,0,0,"Built",34.0574371570638,-1.44847593976065,3.9
101,"Musoma MC","Kigera",28,41,2,4,0,0,"Built",33.8014697802087,-1.52234160082209,3.9
101,"Musoma MC","Kigera",28,41,2,4,0,1,"Built",33.8009543419591,-1.52459273165827,3.9
101,"Musoma MC","Kigera",28,41,2,4,2,0,"Built",33.8032287751333,-1.52154541934693,3.9
112,"Musoma DC","Bwasi",69,174,2,4,0,0,"Built",33.3740404390914,-1.86199704899756,8.8
90,"Musoma DC","Nyamrandirira",61,25,2,4,0,0,"Built",33.5449609872286,-1.82073010398309,4.4
90,"Musoma DC","Nyamrandirira",61,25,2,4,0,0,"Built",33.5435705454377,-1.82055471611776,4.516
113,"Rorya DC","Nyamuga",70,196,2,4,0,0,"Built",33.8510775480568,-1.53455484003032,2500
113,"Rorya DC","Nyamuga",70,196,2,4,2,0,"Built",33.80951368096,-1.50000860927277,2000
113,"Rorya DC","Nyamuga",70,196,2,4,0,0,"Built",33.80951368096,-1.50000860927277,2000
211,"Tarime TC","Nyatondo",92,398,2,4,2,0,"Built",34.3577003517582,-1.35582528457272,6.366
80,"Butiama DC","Kyanyari",10,46,2,4,0,0,"Built",33.7866484889863,-1.82313102566744,4.716
80,"Butiama DC","Kyanyari",10,46,2,4,0,0,"Built",33.7847693684461,-1.82364008773788,4.86
80,"Butiama DC","Kyanyari",10,46,2,4,0,0,"Built",33.7867935194519,-1.82419486078738,4.975
80,"Butiama DC","Kyanyari",10,46,2,4,0,0,"Built",33.7857788448842,-1.82528657527166,4.933
80,"Butiama DC","Kyanyari",10,46,2,4,3,0,"Built",33.7799920101717,-1.82472353338877,4.9
80,"Butiama DC","Kyanyari",10,46,2,4,0,0,"Built",33.7847816473582,-1.82713696145686,4.54
80,"Butiama DC","Kyanyari",10,46,2,4,0,0,"Built",33.7863570700934,-1.82730856790708,4.64
80,"Butiama DC","Kyanyari",10,46,2,4,0,0,"Built",33.786332248765,-1.82801469347181,4.54
12,"Bunda DC","Neruma",11,78,2,4,0,0,"Built",33.5083002269713,-2.1609905873232,4.776
23,"Serengeti DC","Rungabure",20,29,2,4,1,0,"Built",34.6051329729251,-1.73633148495074,4.44
23,"Serengeti DC","Rungabure",20,29,2,4,0,0,"Built",34.6091282453642,-1.73621701517389,4.64
23,"Serengeti DC","Rungabure",20,29,2,4,0,0,"Built",34.6091431509114,-1.73195665513318,4.766
23,"Serengeti DC","Rungabure",20,29,2,4,1,0,"Built",34.6070117989944,-1.73250117341709,4.925
23,"Serengeti DC","Rungabure",20,29,2,4,0,0,"Built",34.6078312565597,-1.73656211762543,4.925
223,"Musoma MC","Bweri",64,201,2,4,2,0,"Built",33.8496616181466,-1.53508203062917,4.98
11,"Butiama DC","Kyanyari",10,32,2,4,0,0,"Built",33.793855428928,-1.82709647501466,5
11,"Butiama DC","Kyanyari",10,32,2,4,0,0,"Built",33.792789865645,-1.82811467550335,4.883
11,"Butiama DC","Kyanyari",10,32,2,4,0,0,"Built",33.7935174424401,-1.8278671576673,4.98
11,"Butiama DC","Kyanyari",10,32,2,4,0,0,"Built",33.7936641427159,-1.82745201303625,4.74
